A repülőterek listája:
Aberdeen,  SD: Aberdeen Regional
Abilene,  TX: Abilene Regional
Adak Island,  AK: Adak
Aguadilla,  PR: Rafael Hernandez
Akron,  OH: Akron-Canton Regional
Albany,  GA: Southwest Georgia Regional
Albany,  NY: Albany International
Albuquerque,  NM: Albuquerque International Sunport
Alexandria,  LA: Alexandria International
Allentown/Bethlehem/Easton,  PA: Lehigh Valley International
Alpena,  MI: Alpena County Regional
Amarillo,  TX: Rick Husband Amarillo International
Anchorage,  AK: Ted Stevens Anchorage International
Appleton,  WI: Appleton International
Arcata/Eureka,  CA: California Redwood Coast Humboldt County
Asheville,  NC: Asheville Regional
Ashland,  WV: Tri-State/Milton J. Ferguson Field
Aspen,  CO: Aspen Pitkin County Sardy Field
Atlanta,  GA: Hartsfield-Jackson Atlanta International
Atlantic City,  NJ: Atlantic City International
Augusta,  GA: Augusta Regional at Bush Field
Austin,  TX: Austin - Bergstrom International
Bakersfield,  CA: Meadows Field
Baltimore,  MD: Baltimore/Washington International Thurgood Marshall
Bangor,  ME: Bangor International
Barrow,  AK: Wiley Post/Will Rogers Memorial
Baton Rouge,  LA: Baton Rouge Metropolitan/Ryan Field
Beaumont/Port Arthur,  TX: Jack Brooks Regional
Belleville,  IL: Scott AFB/MidAmerica
Bellingham,  WA: Bellingham International
Bemidji,  MN: Bemidji Regional
Bend/Redmond,  OR: Roberts Field
Bethel,  AK: Bethel Airport
Billings,  MT: Billings Logan International
Binghamton,  NY: Greater Binghamton/Edwin A. Link Field
Birmingham,  AL: Birmingham-Shuttlesworth International
Bismarck/Mandan,  ND: Bismarck Municipal
Bloomington/Normal,  IL: Central Il Regional Airport at Bloomington
Boise,  ID: Boise Air Terminal
Boston,  MA: Logan International
Bozeman,  MT: Bozeman Yellowstone International
Brainerd,  MN: Brainerd Lakes Regional
Branson,  MO: Branson Airport
Bristol/Johnson City/Kingsport,  TN: Tri Cities
Brownsville,  TX: Brownsville South Padre Island International
Brunswick,  GA: Brunswick Golden Isles
Buffalo,  NY: Buffalo Niagara International
Burbank,  CA: Bob Hope
